====== GFIT REPORT (Process id:0) ======

     Data type :  gauss

    Components :  43
     CONTINUUM :  qsfit_comp_sbpowerlaw            
        GALAXY :  qsfit_comp_galaxytemplate        DISABLED
        BALMER :  qsfit_comp_balmer                
        IRONUV :  qsfit_comp_ironuv                
       IRONOPT :  qsfit_comp_ironoptical           DISABLED
        NA_LYA :  qsfit_comp_emline                DISABLED
        BR_LYA :  qsfit_comp_emline                DISABLED
    NA_NV_1241 :  qsfit_comp_emline                DISABLED
    BR_OI_1306 :  qsfit_comp_emline                
   BR_CII_1335 :  qsfit_comp_emline                
  BR_SIIV_1400 :  qsfit_comp_emline                
   BR_CIV_1549 :  qsfit_comp_emline                
  BR_CIII_1909 :  qsfit_comp_emline                
        BR_CII :  qsfit_comp_emline                
  BR_MGII_2798 :  qsfit_comp_emline                
  NA_NEVI_3426 :  qsfit_comp_emline                DISABLED
   NA_OII_3727 :  qsfit_comp_emline                DISABLED
 NA_NEIII_3869 :  qsfit_comp_emline                DISABLED
         BR_HD :  qsfit_comp_emline                DISABLED
         BR_HG :  qsfit_comp_emline                DISABLED
         NA_HB :  qsfit_comp_emline                DISABLED
         BR_HB :  qsfit_comp_emline                DISABLED
  NA_OIII_4959 :  qsfit_comp_emline                DISABLED
  NA_OIII_5007 :  qsfit_comp_emline                DISABLED
   BR_HEI_5876 :  qsfit_comp_emline                DISABLED
   NA_NII_6549 :  qsfit_comp_emline                DISABLED
         NA_HA :  qsfit_comp_emline                DISABLED
         BR_HA :  qsfit_comp_emline                DISABLED
   NA_NII_6583 :  qsfit_comp_emline                DISABLED
   NA_SII_6716 :  qsfit_comp_emline                DISABLED
   NA_SII_6731 :  qsfit_comp_emline                DISABLED
          UNK1 :  qsfit_comp_emline                
          UNK2 :  qsfit_comp_emline                
          UNK3 :  qsfit_comp_emline                
          UNK4 :  qsfit_comp_emline                
          UNK5 :  qsfit_comp_emline                
          UNK6 :  qsfit_comp_emline                DISABLED
          UNK7 :  qsfit_comp_emline                
          UNK8 :  qsfit_comp_emline                
          UNK9 :  qsfit_comp_emline                
         UNK10 :  qsfit_comp_emline                
  LINE_HA_BASE :  qsfit_comp_emline                DISABLED
  LINE_OIII_BW :  qsfit_comp_emline                DISABLED

  Observation: :  Expressions
             0 :  cc.CONTINUUM + cc.GALAXY + cc.BALMER + cc.IRONUV + cc.IRONOPT + cc.NA_LYA + cc.BR_LYA + cc.NA_NV_1241 + cc.BR_OI_1306 + cc.BR_CII_1335 + cc.BR_SIIV_1400 + cc.BR_CIV_1549 + cc.BR_CIII_1909 + cc.BR_CII + cc.BR_MGII_2798 + cc.NA_NEVI_3426 + cc.NA_OII_3727 + cc.NA_NEIII_3869 + cc.BR_HD + cc.BR_HG + cc.NA_HB + cc.BR_HB + cc.NA_OIII_4959 + cc.NA_OIII_5007 + cc.BR_HEI_5876 + cc.NA_NII_6549 + cc.NA_HA + cc.BR_HA + cc.NA_NII_6583 + cc.NA_SII_6716 + cc.NA_SII_6731 + cc.UNK1 + cc.UNK2 + cc.UNK3 + cc.UNK4 + cc.UNK5 + cc.UNK6 + cc.UNK7 + cc.UNK8 + cc.UNK9 + cc.UNK10 + cc.LINE_HA_BASE + cc.LINE_OIII_BW
EXPR_CONTINUUM :  cc.continuum
   EXPR_GALAXY :  cc.galaxy
EXPR_CONTGALAX :  cc.continuum + cc.galaxy
   EXPR_BALMER :  cc.balmer
     EXPR_IRON :  cc.ironuv + cc.ironopt
EXPR_BROADLINE :  cc.line_Ha_base + cc.br_Lya + cc.br_OI_1306 + cc.br_CII_1335 + cc.br_SiIV_1400 + cc.br_CIV_1549 + cc.br_CIII_1909 + cc.br_CII + cc.br_MgII_2798 + cc.br_Hd + cc.br_Hg + cc.br_Hb + cc.br_HeI_5876 + cc.br_Ha
EXPR_NARROWLIN :  cc.na_Lya + cc.na_NV_1241 + cc.na_NeVI_3426 + cc.na_OII_3727 + cc.na_NeIII_3869 + cc.na_Hb + cc.na_OIII_4959 + cc.na_OIII_5007 + cc.na_NII_6549 + cc.na_Ha + cc.na_NII_6583 + cc.na_SII_6716 + cc.na_SII_6731 + cc.line_OIII_bw
 EXPR_ABSLINES :  0
  EXPR_UNKNOWN :  cc.unk1 + cc.unk2 + cc.unk3 + cc.unk4 + cc.unk5 + cc.unk6 + cc.unk7 + cc.unk8 + cc.unk9 + cc.unk10

List of ALL parameters:
 #|COMP         |PARNAME  |     VAL|       ERR|                 LIMITS|EXPR                          |  ACTUAL|FIXED |STEP
 0|Continuum    |norm     |  14.928|  0.023265| 1.0000e-10,           |                              |  14.928|      |
 1|Continuum    |x0       |  2104.2|         0|     1603.6,     2604.9|                              |  2104.2|fixed |
 2|Continuum    |alpha1   | -1.6517| 0.0064528|         -3,          1|                              | -1.6517|      |
 3|Continuum    |dalpha   |       0|         0|       -0.2,        0.2|                              |       0|fixed |
 4|Continuum    |curv     |     100|         0|          1,       1000|                              |     100|fixed |
 5|balmer       |norm     |     0.1|         0|          0,        0.5|                              |     0.1|fixed |
 6|balmer       |ratio    |     0.3|          |        0.3,          1|                              |     0.3|fixed |
 7|balmer       |logt     |  4.1761|         0|           ,           |                              |  4.1761|fixed |0.1
 8|balmer       |logne    |       9|         0|           ,           |                              |       9|fixed |
 9|balmer       |logtau   |       0|          |          0,          1|                              |       0|fixed |
10|balmer       |fwhm     |  5040.8|         0|           ,           |                              |  5040.8|fixed |
11|balmer       |cont3000 |       1|         0|           ,           |qsfit_comp_sbpowerlaw_l3000() | 0.55665|fixed |
12|ironuv       |ew       |       1|          |          1,        218|                              |       1|      |
13|ironuv       |fwhm     |    3000|         0|       1000,      10000|                              |    3000|fixed |500
14|ironuv       |cont2350 |       1|         0|           ,           |qsfit_comp_sbpowerlaw_l2350() | 0.83322|fixed |
15|br_OI_1306   |norm     |  9.7401|    4.4301|          0,           |                              |  9.7401|      |
16|br_OI_1306   |center   |  1305.5|         0|           ,           |                              |  1305.5|fixed |
17|br_OI_1306   |v_off    |    3000|          |      -3000,       3000|                              |    3000|      |1
18|br_OI_1306   |fwhm     |  1573.5|    789.91|        900,      15000|                              |  1573.5|      |
19|br_CII_1335  |norm     |    21.3|    4.4099|          0,           |                              |    21.3|      |
20|br_CII_1335  |center   |  1335.3|         0|           ,           |                              |  1335.3|fixed |
21|br_CII_1335  |v_off    | -911.83|    165.59|      -3000,       3000|                              | -911.83|      |1
22|br_CII_1335  |fwhm     |  1783.2|     411.4|        900,      15000|                              |  1783.2|      |
23|br_SiIV_1400 |norm     |  208.76|     7.327|          0,           |                              |  208.76|      |
24|br_SiIV_1400 |center   |  1399.8|         0|           ,           |                              |  1399.8|fixed |
25|br_SiIV_1400 |v_off    |  690.37|    81.797|      -3000,       3000|                              |  690.37|      |1
26|br_SiIV_1400 |fwhm     |    5655|    202.55|        900,      15000|                              |    5655|      |
27|br_CIV_1549  |norm     |  510.57|     13.16|          0,           |                              |  510.57|      |
28|br_CIV_1549  |center   |  1549.5|         0|           ,           |                              |  1549.5|fixed |
29|br_CIV_1549  |v_off    |  1171.7|    73.785|      -3000,       3000|                              |  1171.7|      |1
30|br_CIV_1549  |fwhm     |  9592.9|    287.34|        900,      15000|                              |  9592.9|      |
31|br_CIII_1909 |norm     |  417.47|    9.4059|          0,           |                              |  417.47|      |
32|br_CIII_1909 |center   |  1908.7|         0|           ,           |                              |  1908.7|fixed |
33|br_CIII_1909 |v_off    |  2111.7|    131.66|      -3000,       3000|                              |  2111.7|      |1
34|br_CIII_1909 |fwhm     |   13738|    318.15|        900,      15000|                              |   13738|      |
35|br_CII       |norm     |  46.191|    5.6938|          0,           |                              |  46.191|      |
36|br_CII       |center   |    2326|         0|           ,           |                              |    2326|fixed |
37|br_CII       |v_off    | -569.55|    402.85|      -3000,       3000|                              | -569.55|      |1
38|br_CII       |fwhm     |  8279.7|      1028|        900,      15000|                              |  8279.7|      |
39|br_MgII_2798 |norm     |  239.05|    17.233|          0,           |                              |  239.05|      |
40|br_MgII_2798 |center   |  2799.1|         0|           ,           |                              |  2799.1|fixed |
41|br_MgII_2798 |v_off    |  -875.9|    371.78|      -1000,       1000|                              |  -875.9|      |1
42|br_MgII_2798 |fwhm     |   15000|          |        900,      15000|                              |   15000|      |
43|unk1         |norm     |  79.908|    5.4856|          0,           |                              |  79.908|      |
44|unk1         |center   |  1757.1|    2.2274|     1581.9,     1933.5|                              |  1757.1|      |
45|unk1         |v_off    |       0|         0|      -1000,       1000|                              |       0|fixed |1
46|unk1         |fwhm     |   10000|          |        600,      10000|                              |   10000|      |
47|unk2         |norm     |  169.22|    6.0129|          0,           |                              |  169.22|      |
48|unk2         |center   |  1624.5|    1.1072|     1510.4,       1846|                              |  1624.5|      |
49|unk2         |v_off    |       0|         0|      -1000,       1000|                              |       0|fixed |1
50|unk2         |fwhm     |   10000|          |        600,      10000|                              |   10000|      |
51|unk3         |norm     |  59.991|      4.61|          0,           |                              |  59.991|      |
52|unk3         |center   |    2065|    2.7366|     1855.6,       2268|                              |    2065|      |
53|unk3         |v_off    |       0|         0|      -1000,       1000|                              |       0|fixed |1
54|unk3         |fwhm     |   10000|          |        600,      10000|                              |   10000|      |
